Date and Time,Gender,Positive Counts,Positive Rate,,Fatality Rate,Death Count,Death Rate
9/22/2020 14:09,female ,12517,54.17,,1.48,185,47.68
9/22/2020 14:09,male ,10589,45.83,,1.92,203,52.32
9/21/2020 14:38,female ,12493,54.21,,1.46,183,47.53
9/21/2020 14:38,male ,10552,45.79,,1.91,202,52.47
9/20/2020 14:17,female ,12425,54.27,,1.44,179,47.35
9/20/2020 14:17,male ,10468,45.73,,1.9,199,52.65
9/19/2020 14:20,female ,12425,54.27,,1.44,179,47.35
9/19/2020 14:20,male ,10468,45.73,,1.9,199,52.65
9/18/2020 14:16,female ,12360,54.25,,1.45,179,47.48
9/18/2020 14:16,male ,10423,45.75,,1.9,198,52.52
9/17/2020 15:15,female ,12291,54.25,,1.44,177,47.58
9/17/2020 15:15,male ,10366,45.75,,1.88,195,52.42
9/16/2020 14:45,female ,12212,54.27,,1.43,175,47.68
9/16/2020 14:45,male ,10292,45.73,,1.87,192,52.32
9/15/2020 14:27,female ,12166,54.33,,1.44,175,47.68
9/15/2020 14:27,male ,10225,45.67,,1.88,192,52.32
9/14/2020 14:10,female ,12108,54.33,,1.43,173,47.66
9/14/2020 14:10,male ,10177,45.67,,1.87,190,52.34
9/13/2020 15:11,female ,11992,54.37,,1.41,169,47.61
9/13/2020 15:11,male ,10063,45.63,,1.85,186,52.39
9/12/2020 14:10,female ,11992,54.37,,1.41,169,47.61
9/12/2020 14:10,male ,10063,45.63,,1.85,186,52.39
9/11/2020 14:46,female ,11937,54.46,,1.38,165,47.14
9/11/2020 14:46,male ,9982,45.54,,1.85,185,52.86
9/10/2020 14:14,female ,11838,54.45,,1.38,163,47.11
9/10/2020 14:14,male ,9905,45.55,,1.85,183,52.89
9/9/2020 14:14,female ,11759,54.47,,1.38,162,47.09
9/9/2020 14:14,male ,9829,45.53,,1.85,182,52.91
9/8/2020 14:29,female ,11679,54.49,,1.37,160,46.92
9/8/2020 14:29,male ,9753,45.51,,1.86,181,53.08
9/7/2020 14:15,female ,11616,54.55,,1.36,158,47.02
9/7/2020 14:15,male ,9680,45.45,,1.84,178,52.98
9/6/2020 15:49,female ,11563,54.6,,1.37,158,47.31
9/6/2020 15:49,male ,9614,45.4,,1.83,176,52.69
9/5/2020 15:01,female ,11475,54.62,,1.37,157,47.15
9/5/2020 15:01,male ,9535,45.38,,1.85,176,52.85
9/4/2020 14:25,female ,11389,54.64,,1.37,156,47.13
9/4/2020 14:25,male ,9453,45.36,,1.85,175,52.87
9/3/2020 14:13,female ,11285,54.66,,1.37,155,47.11
9/3/2020 14:13,male ,9359,45.34,,1.86,174,52.89
9/2/2020 14:13,female ,11177,54.66,,1.37,153,46.93
9/2/2020 14:13,male ,9272,45.34,,1.87,173,53.07
9/1/2020 14:35,female ,11043,54.72,,1.38,152,46.91
9/1/2020 14:35,male ,9139,45.28,,1.88,172,53.09
8/31/2020 14:14,female ,10922,54.76,,1.39,152,46.91
8/31/2020 14:14,male ,9025,45.24,,1.91,172,53.09
8/30/2020 14:19,female ,10788,54.76,,1.4,151,46.75
8/30/2020 14:19,male ,8911,45.24,,1.93,172,53.25
8/29/2020 9:57,female ,10643,54.86,,1.42,151,47.04
8/29/2020 9:57,male ,8757,45.14,,1.94,170,52.96
8/28/2020 14:27,female ,10461,54.84,,1.42,149,47.15
8/28/2020 14:27,male ,8616,45.16,,1.94,167,52.85
8/27/2020 10:17,female ,10265,54.88,,1.44,148,47.28
8/27/2020 10:17,male ,8441,45.12,,1.95,165,52.72
8/26/2020 10:21,female ,10031,54.92,,1.47,147,47.12
8/26/2020 10:21,male ,8234,45.08,,2,165,52.88
8/25/2020 10:24,female ,9856,54.92,,1.48,146,47.1
8/25/2020 10:24,male ,8089,45.08,,2.03,164,52.9
8/24/2020 10:21,female ,9713,54.98,,1.5,146,47.25
8/24/2020 10:21,male ,7952,45.02,,2.05,163,52.75
8/23/2020 10:24,female ,9565,54.97,,1.53,146,47.25
8/23/2020 10:24,male ,7834,45.03,,2.08,163,52.75
8/22/2020 10:16,female ,9325,54.85,,1.57,146,47.25
8/22/2020 10:16,male ,7677,45.15,,2.12,163,52.75
8/21/2020 10:32,female ,9138,54.82,,1.6,146,47.25
8/21/2020 10:32,male ,7532,45.18,,2.16,163,52.75
8/20/2020 10:25,female ,8962,54.83,,1.61,144,46.91
8/20/2020 10:25,male ,7384,45.17,,2.21,163,53.09
8/19/2020 10:13,female ,8807,54.84,,1.62,143,46.73
8/19/2020 10:13,male ,7251,45.16,,2.25,163,53.27
8/18/2020 10:15,female ,8619,54.69,,1.66,143,46.73
8/18/2020 10:15,male ,7142,45.31,,2.28,163,53.27
8/17/2020 10:27,female ,8463,54.55,,1.69,143,46.89
8/17/2020 10:27,male ,7052,45.45,,2.3,162,53.11
8/16/2020 10:38,female ,8341,54.45,,1.71,143,46.89
8/16/2020 10:38,male ,6977,45.55,,2.32,162,53.11
8/15/2020 9:05,female ,8164,54.29,,1.75,143,46.89
8/15/2020 9:05,male ,6875,45.71,,2.36,162,53.11
8/14/2020 10:26,female ,8068,54.25,,1.77,143,46.89
8/14/2020 10:26,male ,6805,45.75,,2.38,162,53.11
8/13/2020 10:30,female ,8016,54.27,,1.78,143,46.89
8/13/2020 10:30,male ,6754,45.73,,2.4,162,53.11
8/12/2020 10:42,female ,7991,54.31,,1.79,143,46.89
8/12/2020 10:42,male ,6723,45.69,,2.41,162,53.11
8/11/2020 10:33,female ,7971,54.37,,1.79,143,46.89
8/11/2020 10:33,male ,6689,45.63,,2.42,162,53.11
8/10/2020 10:38,female ,7957,54.4,,1.8,143,46.89
8/10/2020 10:38,male ,6669,45.6,,2.43,162,53.11
8/9/2020 10:46,female ,7943,54.41,,1.8,143,46.89
8/9/2020 10:46,male ,6655,45.59,,2.43,162,53.11
8/8/2020 10:19,female ,7924,54.42,,1.8,143,47.04
8/8/2020 10:19,male ,6638,45.58,,2.43,161,52.96
8/7/2020 10:13,female ,7904,54.44,,1.81,143,47.19
8/7/2020 10:13,male ,6615,45.56,,2.42,160,52.81
8/6/2020 10:24,female ,7897,54.47,,1.8,142,47.02
8/6/2020 10:24,male ,6602,45.53,,2.42,160,52.98
8/5/2020 10:23,female ,7888,54.57,,1.8,142,47.02
8/5/2020 10:23,male ,6568,45.43,,2.44,160,52.98
8/4/2020 10:56,female ,7878,54.62,,1.79,141,46.84
8/4/2020 10:56,male ,6545,45.38,,2.44,160,53.16
8/3/2020 11:01,female ,7867,54.67,,1.79,141,46.84
8/3/2020 11:01,male ,6522,45.33,,2.45,160,53.16
8/2/2020 12:20,female ,7859,54.71,,1.2,94,47
8/2/2020 12:20,male ,6507,45.29,,1.63,106,53
8/1/2020 10:22,female ,7850,54.76,,1.8,141,46.84
8/1/2020 10:22,male ,6486,45.24,,2.47,160,53.16
7/31/2020 10:37,female ,7842,54.82,,1.8,141,46.84
7/31/2020 10:37,male ,6463,45.18,,2.48,160,53.16
7/30/2020 11:13,female ,7830,54.87,,1.8,141,47
7/30/2020 11:13,male ,6439,45.13,,2.47,159,53
7/29/2020 10:47,female ,7825,54.91,,1.8,141,47
7/29/2020 10:47,male ,6426,45.09,,2.47,159,53
7/28/2020 10:32,female ,7809,54.98,,1.81,141,47
7/28/2020 10:32,male ,6394,45.02,,2.49,159,53
7/27/2020 10:50,female ,7803,55.05,,1.81,141,47.16
7/27/2020 10:50,male ,6372,44.95,,2.48,158,52.84
7/26/2020 10:29,female ,7790,55.05,,1.8,140,46.98
7/26/2020 10:29,male ,6360,44.95,,2.48,158,53.02
7/25/2020 10:24,female ,7781,55.22,,1.8,140,46.98
7/25/2020 10:24,male ,6311,44.78,,2.5,158,53.02
7/24/2020 11:06,female ,7764,55.54,,1.8,140,46.98
7/24/2020 11:06,male ,6215,44.46,,2.54,158,53.02
7/23/2020 10:40,female ,7746,55.57,,1.81,140,47.14
7/23/2020 10:40,male ,6192,44.43,,2.54,157,52.86
7/22/2020 10:28,female ,7726,55.67,,1.81,140,47.14
7/22/2020 10:28,male ,6153,44.33,,2.55,157,52.86
7/21/2020 10:55,female ,7702,55.75,,1.82,140,47.3
7/21/2020 10:55,male ,6114,44.25,,2.55,156,52.7
7/20/2020 10:57,female ,7682,55.78,,1.82,140,47.3
7/20/2020 10:57,male ,6089,44.22,,2.56,156,52.7
7/19/2020 10:21,female ,7675,55.84,,1.82,140,47.46
7/19/2020 10:21,male ,6070,44.16,,2.55,155,52.54
7/18/2020 10:26,female ,7662,55.88,,1.81,139,47.28
7/18/2020 10:26,male ,6049,44.12,,2.56,155,52.72
7/17/2020 10:41,female ,7646,55.92,,1.82,139,47.44
7/17/2020 10:41,male ,6026,44.08,,2.56,154,52.56
7/16/2020 10:47,female ,7601,56.25,,1.8,137,47.08
7/16/2020 10:47,male ,5911,43.75,,2.61,154,52.92
7/15/2020 10:40,female ,7607,56.14,,1.79,136,47.06
7/15/2020 10:40,male ,5944,43.86,,2.57,153,52.94
7/14/2020 10:44,female ,7601,56.25,,1.79,136,47.06
7/14/2020 10:44,male ,5911,43.75,,2.59,153,52.94
7/13/2020 10:25,female ,7584,56.27,,1.79,136,47.06
7/13/2020 10:25,male ,5895,43.73,,2.6,153,52.94
7/12/2020 10:30,female ,7561,56.35,,1.8,136,47.06
7/12/2020 10:30,male ,5856,43.65,,2.61,153,52.94
7/11/2020 10:29,female ,7549,56.45,,1.79,135,46.88
7/11/2020 10:29,male ,5824,43.55,,2.63,153,53.13
7/10/2020 10:18,female ,7536,56.5,,1.79,135,46.88
7/10/2020 10:18,male ,5802,43.5,,2.64,153,53.13
7/9/2020 10:53,female ,7527,56.62,,1.78,134,46.69
7/9/2020 10:53,male ,5766,43.38,,2.65,153,53.31
7/8/2020 10:20,female ,7506,56.67,,1.77,133,46.67
7/8/2020 10:20,male ,5738,43.33,,2.65,152,53.33
7/7/2020 10:19,female ,7478,56.73,,1.78,133,46.67
7/7/2020 10:19,male ,5703,43.27,,2.67,152,53.33
7/6/2020 10:50,female ,7455,56.75,,1.78,133,46.83
7/6/2020 10:50,male ,5682,43.25,,2.66,151,53.17
7/5/2020 10:27,female ,7434,56.79,,1.78,132,46.64
7/5/2020 10:27,male ,5657,43.21,,2.67,151,53.36
7/4/2020 10:15,female ,7405,56.83,,1.78,132,46.64
7/4/2020 10:15,male ,5625,43.17,,2.68,151,53.36
7/3/2020 11:23,female ,7380,56.91,,1.78,131,46.45
7/3/2020 11:23,male ,5587,43.09,,2.7,151,53.55
7/2/2020 14:20,female ,7349,56.95,,1.78,131,46.45
7/2/2020 14:20,male ,5555,43.05,,2.72,151,53.55
7/1/2020 10:50,female ,7305,57.07,,1.79,131,46.45
7/1/2020 10:50,male ,5495,42.93,,2.75,151,53.55
6/30/2020 13:57,female ,7305,57.07,,1.79,131,46.45
6/30/2020 13:57,male ,5495,42.93,,2.75,151,53.55
6/29/2020 10:32,female ,7287,57.12,,1.8,131,46.45
6/29/2020 10:32,male ,5470,42.88,,2.76,151,53.55
6/28/2020 10:30,female ,7265,57.14,,1.8,131,46.45
6/28/2020 10:30,male ,5450,42.86,,2.77,151,53.55
6/27/2020 10:49,female ,7241,57.23,,1.81,131,46.45
6/27/2020 10:49,male ,5412,42.77,,2.79,151,53.55
6/26/2020 10:14,female ,7218,57.28,,1.81,131,46.45
6/26/2020 10:14,male ,5384,42.72,,2.8,151,53.55
6/25/2020 10:20,female ,7203,57.34,,1.82,131,46.45
6/25/2020 10:20,male ,5360,42.66,,2.82,151,53.55
6/24/2020 10:33,female ,7190,57.36,,1.82,131,46.62
6/24/2020 10:33,male ,5345,42.64,,2.81,150,53.38
6/23/2020 10:42,female ,7170,57.43,,2.11,151,50.17
6/23/2020 10:42,male ,5314,42.57,,2.82,150,49.83
6/22/2020 11:40,female ,7159,57.56,,1.82,130,46.43
6/22/2020 11:40,male ,5279,42.44,,2.84,150,53.57
6/21/2020 10:12,female ,7151,57.57,,1.82,130,46.43
6/21/2020 10:12,male ,5270,42.43,,2.85,150,53.57
6/20/2020 10:15,female ,7128,57.61,,1.82,130,46.43
6/20/2020 10:15,male ,5245,42.39,,2.86,150,53.57
6/19/2020 10:33,female ,7100,57.7,,1.83,130,46.43
6/19/2020 10:33,male ,5206,42.3,,2.88,150,53.57
6/18/2020 10:13,female ,7076,57.73,,1.84,130,46.43
6/18/2020 10:13,male ,5181,42.27,,2.9,150,53.57
6/17/2020 10:15,female ,7042,57.73,,1.85,130,46.59
6/17/2020 10:15,male ,5156,42.27,,2.89,149,53.41
6/16/2020 10:19,female ,7017,57.73,,1.85,130,46.76
6/16/2020 10:19,male ,5138,42.27,,2.88,148,53.24
6/14/2020 10:21,female ,6988,57.82,,1.86,130,46.93
6/14/2020 10:21,male ,5097,42.18,,2.88,147,53.07
6/13/2020 10:12,female ,6970,57.84,,1.87,130,46.93
6/13/2020 10:12,male ,5081,42.16,,2.89,147,53.07
6/12/2020 10:24,female ,6917,57.9,,1.86,129,46.74
6/12/2020 10:24,male ,5030,42.1,,2.92,147,53.26
6/11/2020 10:31,female ,6917,57.9,,1.86,129,46.74
6/11/2020 10:31,male ,5030,42.1,,2.92,147,53.26
6/10/2020 10:15,female ,6900,57.97,,1.87,129,46.74
6/10/2020 10:15,male ,5002,42.03,,2.94,147,53.26
6/9/2020 10:09,female ,6872,57.98,,1.86,128,46.72
6/9/2020 10:09,male ,4980,42.02,,2.93,146,53.28
6/8/2020 10:29,female ,6852,58,,1.87,128,46.89
6/8/2020 10:29,male ,4962,42,,2.92,145,53.11
6/7/2020 10:22,female ,6826,57.97,,1.88,128,46.89
6/7/2020 10:22,male ,4950,42.03,,2.93,145,53.11
6/6/2020 10:51,female ,6799,58.02,,1.88,128,46.89
6/6/2020 10:51,male ,4920,41.98,,2.95,145,53.11
6/5/2020 10:59,female ,6775,58.06,,1.89,128,46.89
6/5/2020 10:59,male ,4893,41.94,,2.96,145,53.11
6/4/2020 10:31,female ,6757,58.1,,1.89,128,46.89
6/4/2020 10:31,male ,4872,41.9,,2.98,145,53.11
6/3/2020 10:26,female ,6738,58.14,,1.9,128,46.89
6/3/2020 10:26,male ,4852,41.86,,2.99,145,53.11
6/2/2020 10:16,female ,6712,58.16,,1.91,128,47.06
6/2/2020 10:16,male ,4829,41.84,,2.98,144,52.94
5/31/2020 10:25,female ,6673,58.19,,1.9,127,47.04
5/31/2020 10:25,male ,4795,41.81,,2.98,143,52.96
5/30/2020 10:13,female ,6661,58.22,,1.91,127,47.21
5/30/2020 10:13,male ,4780,41.78,,2.97,142,52.79
5/29/2020 10:11,female ,6643,58.26,,1.91,127,47.21
5/29/2020 10:11,male ,4759,41.74,,2.98,142,52.79
5/28/2020 10:12,female ,6617,58.33,,1.92,127,47.21
5/28/2020 10:12,male ,4727,41.67,,3,142,52.79
5/27/2020 10:17,female ,6585,58.46,,1.93,127,47.21
5/27/2020 10:17,male ,4680,41.54,,3.03,142,52.79
5/26/2020 10:14,female ,6561,58.45,,1.94,127,47.21
5/26/2020 10:14,male ,4664,41.55,,3.04,142,52.79
5/25/2020 10:28,female ,6555,58.5,,1.92,126,47.19
5/25/2020 10:28,male ,4651,41.5,,3.03,141,52.81
5/24/2020 10:27,female ,6547,58.51,,1.92,126,47.37
5/24/2020 10:27,male ,4643,41.49,,3.02,140,52.63
5/23/2020 10:35,female ,6537,58.55,,1.93,126,47.37
5/23/2020 10:35,male ,4628,41.45,,3.03,140,52.63
5/21/2020 10:25,female ,6521,58.63,,1.93,126,47.73
5/21/2020 10:25,male ,4601,41.37,,3,138,52.27
5/20/2020 10:14,female ,6518,58.67,,1.93,126,47.91
5/20/2020 10:14,male ,4592,41.33,,2.98,137,52.09
5/19/2020 10:24,female ,6509,58.76,,1.94,126,47.91
5/19/2020 10:24,male ,4569,41.24,,3,137,52.09
5/18/2020 10:19,female ,6505,58.79,,1.94,126,47.91
5/18/2020 10:19,male ,4560,41.21,,3,137,52.09
5/17/2020 10:14,female ,6501,58.83,,1.94,126,48.09
5/17/2020 10:14,male ,4549,41.17,,2.99,136,51.91
5/16/2020 10:20,female ,6493,58.83,,1.94,126,48.09
5/16/2020 10:20,male ,4544,41.17,,2.99,136,51.91
5/15/2020 10:34,female ,6486,58.87,,1.93,125,48.08
5/15/2020 10:34,male ,4532,41.13,,2.98,135,51.92
5/14/2020 10:19,female ,6475,58.91,,1.93,125,48.08
5/14/2020 10:19,male ,4516,41.09,,2.99,135,51.92
5/13/2020 10:42,female ,6463,58.96,,1.93,125,48.26
5/13/2020 10:42,male ,4499,41.04,,2.98,134,51.74
5/12/2020 10:14,female ,6455,59.03,,1.94,125,48.45
5/12/2020 10:14,male ,4481,40.97,,2.97,133,51.55
5/11/2020 10:27,female ,6448,59.11,,1.91,123,48.05
5/11/2020 10:27,male ,4461,40.89,,2.98,133,51.95
5/10/2020 10:16,female ,6444,59.26,,1.91,123,48.05
5/10/2020 10:16,male ,4430,40.74,,3,133,51.95
5/9/2020 10:20,female ,6434,59.35,,1.91,123,48.05
5/9/2020 10:20,male ,4406,40.65,,3.02,133,51.95
5/8/2020 10:19,female ,6433,59.44,,1.91,123,48.05
5/8/2020 10:19,male ,4389,40.56,,3.03,133,51.95
5/7/2020 10:48,female ,6428,59.46,,1.91,123,48.05
5/7/2020 10:48,male ,4382,40.54,,3.04,133,51.95
5/6/2020 10:17,female ,6427,59.48,,1.91,123,48.24
5/6/2020 10:17,male ,4379,40.52,,3.01,132,51.76
5/5/2020 10:23,female ,6427,59.49,,1.91,123,48.43
5/5/2020 10:23,male ,4377,40.51,,2.99,131,51.57
5/4/2020 10:12,female ,6426,59.49,,1.88,121,48.02
5/4/2020 10:12,male ,4375,40.51,,2.99,131,51.98
5/3/2020 10:56,female ,6424,59.52,,1.87,120,48
5/3/2020 10:56,male ,4369,40.48,,2.98,130,52
5/2/2020 10:23,female ,6418,59.54,,1.87,120,48
5/2/2020 10:23,male ,4362,40.46,,2.98,130,52
5/1/2020 10:28,female ,6418,59.57,,1.84,118,47.58
5/1/2020 10:28,male ,4356,40.43,,2.98,130,52.42
4/30/2020 10:14,female ,6413,59.57,,1.82,117,47.37
4/30/2020 10:14,male ,4352,40.43,,2.99,130,52.63
4/29/2020 10:27,female ,6413,59.59,,1.82,117,47.56
4/29/2020 10:27,male ,4348,40.41,,2.97,129,52.44
4/28/2020 10:24,female ,6408,59.6,,1.81,116,47.54
4/28/2020 10:24,male ,4344,40.4,,2.95,128,52.46
4/27/2020 10:14,female ,6401,59.61,,1.81,116,47.74
4/27/2020 10:14,male ,4337,40.39,,2.93,127,52.26
4/26/2020 10:14,female ,6395,59.61,,1.8,115,47.52
4/26/2020 10:14,male ,4333,40.39,,2.93,127,52.48
4/25/2020 10:40,female ,6391,59.63,,1.77,113,47.08
4/25/2020 10:40,male ,4327,40.37,,2.94,127,52.92
4/24/2020 10:12,female ,6385,59.63,,1.77,113,47.08
4/24/2020 10:12,male ,4323,40.37,,2.94,127,52.92
4/23/2020 10:12,female ,6384,59.65,,1.77,113,47.08
4/23/2020 10:12,male ,4318,40.35,,2.94,127,52.92
4/22/2020 10:21,female ,6380,59.66,,1.76,112,47.06
4/22/2020 10:21,male ,4314,40.34,,2.92,126,52.94
4/21/2020 10:16,female ,6375,59.67,,1.76,112,47.26
4/21/2020 10:16,male ,4308,40.33,,2.9,125,52.74
4/20/2020 10:28,female ,6372,59.7,,1.74,111,47.03
4/20/2020 10:28,male ,4302,40.3,,2.91,125,52.97
4/19/2020 11:07,female ,6364,59.69,,1.73,110,47.01
4/19/2020 11:07,male ,4297,40.31,,2.89,124,52.99
4/18/2020 10:45,female ,6360,59.7,,1.7,108,46.55
4/18/2020 10:45,male ,4293,40.3,,2.89,124,53.45
4/17/2020 10:35,female ,6349,59.7,,1.7,108,46.96
4/17/2020 10:35,male ,4286,40.3,,2.85,122,53.04
4/16/2020 16:10,female ,6341,59.75,,1.69,107,46.72
4/16/2020 16:10,male ,4272,40.25,,2.86,122,53.28
4/15/2020 15:44,female ,6325,59.72,,1.69,107,47.56
4/15/2020 15:44,male ,4266,40.28,,2.77,118,52.44
4/14/2020 10:24,female ,6308,59.71,,1.68,106,47.75
4/14/2020 10:24,male ,4256,40.29,,2.73,116,52.25
4/13/2020 10:22,female ,6294,59.73,,1.62,102,47
4/13/2020 10:22,male ,4243,40.27,,2.71,115,53
4/12/2020 10:22,female ,6283,59.77,,1.61,101,47.2
4/12/2020 10:22,male ,4229,40.23,,2.67,113,52.8
4/11/2020 10:29,female ,6265,59.78,,1.6,100,47.39
4/11/2020 10:29,male ,4215,40.22,,2.63,111,52.61
4/10/2020 10:17,female ,6250,59.81,,1.58,99,47.6
4/10/2020 10:17,male ,4200,40.19,,2.6,109,52.4
4/9/2020 10:23,female ,6238,59.85,,1.55,97,47.55
4/9/2020 10:23,male ,4185,40.15,,2.56,107,52.45
4/8/2020 11:34,female ,6221,59.91,,1.51,94,47
4/8/2020 11:34,male ,4163,40.09,,2.55,106,53
4/7/2020 19:32,female ,6193,59.95,,1.47,91,47.4
4/7/2020 19:32,male ,4138,40.05,,2.44,101,52.6
4/2/2020 19:02,female ,5881,60.1,,1.36,80,49.38
4/2/2020 19:02,male ,3905,39.9,,2.1,82,50.62
