Confirmed_cases(confCase),confirmation_rate(confCaseRate),Date_and_time_of_registration(createDt),fatality rate(criticalRate),dead(death),deathRate(deathRate),"Categorization,gender,age(gubun)","post-number_Unique_value by gender, age, and Confirmed_cases(seq)",Modified_Date_and_Time_Minute(updateDt)
12517,54.17,9/22/2020 14:09,1.48,185,47.68,female ,3513,null
10589,45.83,9/22/2020 14:09,1.92,203,52.32,male ,3512,null
12493,54.21,9/21/2020 14:38,1.46,183,47.53,female ,3491,null
10552,45.79,9/21/2020 14:38,1.91,202,52.47,male ,3490,null
12425,54.27,9/20/2020 14:17,1.44,179,47.35,female ,3469,null
10468,45.73,9/20/2020 14:17,1.9,199,52.65,male ,3468,null
12425,54.27,9/19/2020 14:20,1.44,179,47.35,female ,3447,null
10468,45.73,9/19/2020 14:20,1.9,199,52.65,male ,3446,null
12360,54.25,9/18/2020 14:16,1.45,179,47.48,female ,3425,null
10423,45.75,9/18/2020 14:16,1.9,198,52.52,male ,3424,null
12291,54.25,9/17/2020 15:15,1.44,177,47.58,female ,3403,null
10366,45.75,9/17/2020 15:15,1.88,195,52.42,male ,3402,null
12212,54.27,9/16/2020 14:45,1.43,175,47.68,female ,3381,null
10292,45.73,9/16/2020 14:45,1.87,192,52.32,male ,3380,null
12166,54.33,9/15/2020 14:27,1.44,175,47.68,female ,3370,null
10225,45.67,9/15/2020 14:27,1.88,192,52.32,male ,3369,null
12108,54.33,9/14/2020 14:10,1.43,173,47.66,female ,3337,null
10177,45.67,9/14/2020 14:10,1.87,190,52.34,male ,3336,null
11992,54.37,9/13/2020 15:11,1.41,169,47.61,female ,3315,null
10063,45.63,9/13/2020 15:11,1.85,186,52.39,male ,3314,null
11992,54.37,9/12/2020 14:10,1.41,169,47.61,female ,3293,null
10063,45.63,9/12/2020 14:10,1.85,186,52.39,male ,3292,null
11937,54.46,9/11/2020 14:46,1.38,165,47.14,female ,3271,null
9982,45.54,9/11/2020 14:46,1.85,185,52.86,male ,3270,null
11838,54.45,9/10/2020 14:14,1.38,163,47.11,female ,3249,null
9905,45.55,9/10/2020 14:14,1.85,183,52.89,male ,3248,null
11759,54.47,9/9/2020 14:14,1.38,162,47.09,female ,3227,null
9829,45.53,9/9/2020 14:14,1.85,182,52.91,male ,3226,null
11679,54.49,9/8/2020 14:29,1.37,160,46.92,female ,3205,null
9753,45.51,9/8/2020 14:29,1.86,181,53.08,male ,3204,null
11616,54.55,9/7/2020 14:15,1.36,158,47.02,female ,3183,null
9680,45.45,9/7/2020 14:15,1.84,178,52.98,male ,3182,null
11563,54.6,9/6/2020 15:49,1.37,158,47.31,female ,3161,null
9614,45.4,9/6/2020 15:49,1.83,176,52.69,male ,3160,null
11475,54.62,9/5/2020 15:01,1.37,157,47.15,female ,3150,null
9535,45.38,9/5/2020 15:01,1.85,176,52.85,male ,3149,null
11389,54.64,9/4/2020 14:25,1.37,156,47.13,female ,3117,null
9453,45.36,9/4/2020 14:25,1.85,175,52.87,male ,3116,null
11285,54.66,9/3/2020 14:13,1.37,155,47.11,female ,3095,null
9359,45.34,9/3/2020 14:13,1.86,174,52.89,male ,3094,null
11177,54.66,9/2/2020 14:13,1.37,153,46.93,female ,3073,null
9272,45.34,9/2/2020 14:13,1.87,173,53.07,male ,3072,null
11043,54.72,9/1/2020 14:35,1.38,152,46.91,female ,3051,null
9139,45.28,9/1/2020 14:35,1.88,172,53.09,male ,3050,null
10922,54.76,8/31/2020 14:14,1.39,152,46.91,female ,3040,null
9025,45.24,8/31/2020 14:14,1.91,172,53.09,male ,3039,null
10788,54.76,8/30/2020 14:19,1.4,151,46.75,female ,3007,null
8911,45.24,8/30/2020 14:19,1.93,172,53.25,male ,3006,null
10643,54.86,8/29/2020 9:57,1.42,151,47.04,female ,2963,null
8757,45.14,8/29/2020 9:57,1.94,170,52.96,male ,2962,null
10461,54.84,8/28/2020 14:27,1.42,149,47.15,female ,2952,null
8616,45.16,8/28/2020 14:27,1.94,167,52.85,male ,2951,null
10265,54.88,8/27/2020 10:17,1.44,148,47.28,female ,2919,null
8441,45.12,8/27/2020 10:17,1.95,165,52.72,male ,2918,null
10031,54.92,8/26/2020 10:21,1.47,147,47.12,female ,2897,null
8234,45.08,8/26/2020 10:21,2,165,52.88,male ,2896,null
9856,54.92,8/25/2020 10:24,1.48,146,47.1,female ,2875,null
8089,45.08,8/25/2020 10:24,2.03,164,52.9,male ,2874,null
9713,54.98,8/24/2020 10:21,1.5,146,47.25,female ,2853,null
7952,45.02,8/24/2020 10:21,2.05,163,52.75,male ,2852,null
9565,54.97,8/23/2020 10:24,1.53,146,47.25,female ,2831,null
7834,45.03,8/23/2020 10:24,2.08,163,52.75,male ,2830,null
9325,54.85,8/22/2020 10:16,1.57,146,47.25,female ,2809,null
7677,45.15,8/22/2020 10:16,2.12,163,52.75,male ,2808,null
9138,54.82,8/21/2020 10:32,1.6,146,47.25,female ,2787,null
7532,45.18,8/21/2020 10:32,2.16,163,52.75,male ,2786,null
8962,54.83,8/20/2020 10:25,1.61,144,46.91,female ,2765,null
7384,45.17,8/20/2020 10:25,2.21,163,53.09,male ,2764,null
8807,54.84,8/19/2020 10:13,1.62,143,46.73,female ,2743,null
7251,45.16,8/19/2020 10:13,2.25,163,53.27,male ,2742,null
8619,54.69,8/18/2020 10:15,1.66,143,46.73,female ,2721,null
7142,45.31,8/18/2020 10:15,2.28,163,53.27,male ,2720,null
8463,54.55,8/17/2020 10:27,1.69,143,46.89,female ,2699,null
7052,45.45,8/17/2020 10:27,2.3,162,53.11,male ,2698,null
8341,54.45,8/16/2020 10:38,1.71,143,46.89,female ,2677,null
6977,45.55,8/16/2020 10:38,2.32,162,53.11,male ,2676,null
8164,54.29,8/15/2020 9:05,1.75,143,46.89,female ,2655,null
6875,45.71,8/15/2020 9:05,2.36,162,53.11,male ,2654,null
8068,54.25,8/14/2020 10:26,1.77,143,46.89,female ,2633,null
6805,45.75,8/14/2020 10:26,2.38,162,53.11,male ,2632,null
8016,54.27,8/13/2020 10:30,1.78,143,46.89,female ,2611,null
6754,45.73,8/13/2020 10:30,2.4,162,53.11,male ,2610,null
7991,54.31,8/12/2020 10:42,1.79,143,46.89,female ,2589,null
6723,45.69,8/12/2020 10:42,2.41,162,53.11,male ,2588,null
7971,54.37,8/11/2020 10:33,1.79,143,46.89,female ,2567,null
6689,45.63,8/11/2020 10:33,2.42,162,53.11,male ,2566,null
7957,54.4,8/10/2020 10:38,1.8,143,46.89,female ,2545,null
6669,45.6,8/10/2020 10:38,2.43,162,53.11,male ,2544,null
7943,54.41,8/9/2020 10:46,1.8,143,46.89,female ,2523,null
6655,45.59,8/9/2020 10:46,2.43,162,53.11,male ,2522,null
7924,54.42,8/8/2020 10:19,1.8,143,47.04,female ,2501,null
6638,45.58,8/8/2020 10:19,2.43,161,52.96,male ,2500,null
7904,54.44,8/7/2020 10:13,1.81,143,47.19,female ,2479,null
6615,45.56,8/7/2020 10:13,2.42,160,52.81,male ,2478,null
7897,54.47,8/6/2020 10:24,1.8,142,47.02,female ,2457,null
6602,45.53,8/6/2020 10:24,2.42,160,52.98,male ,2456,null
7888,54.57,8/5/2020 10:23,1.8,142,47.02,female ,2435,null
6568,45.43,8/5/2020 10:23,2.44,160,52.98,male ,2434,null
7878,54.62,8/4/2020 10:56,1.79,141,46.84,female ,2413,null
6545,45.38,8/4/2020 10:56,2.44,160,53.16,male ,2412,null
7867,54.67,8/3/2020 11:01,1.79,141,46.84,female ,2391,null
6522,45.33,8/3/2020 11:01,2.45,160,53.16,male ,2390,null
7859,54.71,8/2/2020 12:20,1.2,94,47,female ,2369,null
6507,45.29,8/2/2020 12:20,1.63,106,53,male ,2368,null
7850,54.76,8/1/2020 10:22,1.8,141,46.84,female ,2347,null
6486,45.24,8/1/2020 10:22,2.47,160,53.16,male ,2346,null
7842,54.82,7/31/2020 10:37,1.8,141,46.84,female ,2325,null
6463,45.18,7/31/2020 10:37,2.48,160,53.16,male ,2324,null
7830,54.87,7/30/2020 11:13,1.8,141,47,female ,2303,null
6439,45.13,7/30/2020 11:13,2.47,159,53,male ,2302,null
7825,54.91,7/29/2020 10:47,1.8,141,47,female ,2281,null
6426,45.09,7/29/2020 10:47,2.47,159,53,male ,2280,null
