Province Divisions,Cities,Latitudes,Longitudes
Seoul,Seoul,37.566953,126.977977
Seoul,Gangnam-gu,37.518421,127.047222
Seoul,Gangdong-gu,37.530492,127.123837
Seoul,Gangbuk-gu,37.639938,127.025508
Seoul,Gangseo-gu,37.551166,126.849506
Seoul,Gwanak-gu,37.47829,126.951502
Seoul,Gwangjin-gu,37.538712,127.082366
Seoul,Guro-gu,37.495632,126.88765
Seoul,Geumcheon-gu,37.456852,126.895229
Seoul,Nowon-gu,37.654259,127.056294
Seoul,Dobong-gu,37.668952,127.047082
Seoul,Dongdaemun-gu,37.574552,127.039721
Seoul,Dongjak-gu,37.510571,126.963604
Seoul,Mapo-gu,37.566283,126.901644
Seoul,Seodaemun-gu,37.579428,126.936771
Seoul,Seocho-gu,37.483804,127.032693
Seoul,Seongdong-gu,37.563277,127.036647
Seoul,Seongbuk-gu,37.589562,127.0167
Seoul,Songpa-gu,37.51462,127.106141
Seoul,Yangcheon-gu,37.517189,126.866618
Seoul,Yeongdeungpo-gu,37.526505,126.89619
Seoul,Yongsan-gu,37.532768,126.990021
Seoul,Eunpyeong-gu,37.603481,126.929173
Seoul,Jongno-gu,37.572999,126.979189
Seoul,Jung-gu,37.563988,126.99753
Seoul,Jungnang-gu,37.606832,127.092656
Busan,Busan,35.179884,129.074796
Busan,Gangseo-gu,35.212424,128.98068
Busan,Geumjeong-gu,35.243053,129.092163
Busan,Gijang-gun,35.244881,129.222253
Busan,Nam-gu,35.136789,129.08414
Busan,Dong-gu,35.129432,129.04554
Busan,Dongnae-gu,35.20506,129.083673
Busan,Busanjin-gu,35.163332,129.053058
Busan,Buk-gu,35.197483,128.990224
Busan,Sasang-gu,35.152777,128.991142
Busan,Saha-gu,35.104642,128.974792
Busan,Seo-gu,35.098135,129.024193
Busan,Suyeong-gu,35.145805,129.113194
Busan,Yeonje-gu,35.176406,129.079566
Busan,Yeongdo-gu,35.091362,129.067884
Busan,Jung-gu,35.106321,129.032256
