province,city,elementary_school_count,kindergarten_count,university_count
Seoul,Seoul,607,830,48
Seoul,Gangnam-gu,33,38,0
Seoul,Gangdong-gu,27,32,0
Seoul,Gangbuk-gu,14,21,0
Seoul,Gangseo-gu,36,56,1
Seoul,Gwanak-gu,22,33,1
Seoul,Gwangjin-gu,22,33,3
Seoul,Guro-gu,26,34,3
Seoul,Geumcheon-gu,18,19,0
Seoul,Nowon-gu,42,66,6
Seoul,Dobong-gu,23,26,1
Seoul,Dongdaemun-gu,21,31,4
Seoul,Dongjak-gu,21,34,3
Seoul,Mapo-gu,22,24,2
Seoul,Seodaemun-gu,19,25,6
Seoul,Seocho-gu,24,27,1
Seoul,Seongdong-gu,21,30,2
Seoul,Seongbuk-gu,29,49,6
Seoul,Songpa-gu,40,51,1
Seoul,Yangcheon-gu,30,43,0
Seoul,Yeongdeungpo-gu,23,39,0
Seoul,Yongsan-gu,15,13,1
Seoul,Eunpyeong-gu,31,44,1
Seoul,Jongno-gu,13,17,3
Seoul,Jung-gu,12,14,2
Seoul,Jungnang-gu,23,31,1
Busan,Busan,304,408,22
Busan,Gangseo-gu,17,21,0
Busan,Geumjeong-gu,22,28,4
Busan,Gijang-gun,21,35,0
Busan,Nam-gu,21,27,4
Busan,Dong-gu,7,9,0
Busan,Dongnae-gu,22,31,0
Busan,Busanjin-gu,32,43,3
Busan,Buk-gu,27,37,1
Busan,Sasang-gu,21,31,3
Busan,Saha-gu,26,42,2
Busan,Seo-gu,11,9,0
Busan,Suyeong-gu,10,22,0
Busan,Yeonje-gu,16,18,2
Busan,Yeongdo-gu,14,12,2
Busan,Jung-gu,4,4,0
Busan,Haeundae-gu,33,39,1
Daegu,Daegu,229,355,11
Daegu,Nam-gu,11,15,2
Daegu,Dalseo-gu,55,78,3
Daegu,Dalseong-gun,32,47,1
Daegu,Dong-gu,32,58,0
Daegu,Buk-gu,38,73,4
Daegu,Seo-gu,17,23,0
Daegu,Suseong-gu,34,49,1
Daegu,Jung-gu,10,12,0
Gwangju,Gwangju,155,312,17
Gwangju,Gwangsan-gu,45,90,4
Gwangju,Nam-gu,23,44,4
Gwangju,Dong-gu,11,18,3
Gwangju,Buk-gu,46,105,6
Gwangju,Seo-gu,30,55,0
Incheon,Incheon,250,403,7
Incheon,Ganghwa-gun,20,19,1
Incheon,Gyeyang-gu,26,36,2
Incheon,Michuhol-gu,29,43,2
Incheon,Namdong-gu,38,77,0
Incheon,Dong-gu,8,12,1
Incheon,Bupyeong-gu,42,66,0
Incheon,Seo-gu,44,80,0
Incheon,Yeonsu-gu,23,43,1
Incheon,Ongjin-gun,6,10,0
Incheon,Jung-gu,14,17,0
Daejeon,Daejeon,148,260,15
Daejeon,Daedeok-gu,21,29,2
Daejeon,Dong-gu,23,35,4
Daejeon,Seo-gu,39,78,3
Daejeon,Yuseong-gu,38,75,5
Daejeon,Jung-gu,27,43,1
Ulsan,Ulsan,119,200,4
Ulsan,Nam-gu,30,44,1
Ulsan,Dong-gu,16,25,1
Ulsan,Buk-gu,22,45,0
Ulsan,Ulju-gun,30,49,2
Ulsan,Jung-gu,21,37,0
Sejong,Sejong,48,60,3
Gyeonggi-do,Gyeonggi-do,1277,2237,61
Gyeonggi-do,Gapyeong-gun,13,14,0
Gyeonggi-do,Goyang-si,84,171,2
Gyeonggi-do,Gwacheon-si,4,7,0
Gyeonggi-do,Gwangmyeong-si,25,48,0
Gyeonggi-do,Gwangju-si,27,42,2
Gyeonggi-do,Guri-si,16,30,0
Gyeonggi-do,Gunpo-si,26,49,1
Gyeonggi-do,Gimpo-si,43,90,2
Gyeonggi-do,Namyangju-si,64,110,1
Gyeonggi-do,Dongducheon-si,11,19,1
Gyeonggi-do,Bucheon-si,64,124,4
Gyeonggi-do,Seongnam-si,72,127,3
Gyeonggi-do,Suwon-si,99,192,4
Gyeonggi-do,Siheung-si,46,74,2
Gyeonggi-do,Ansan-si,54,94,4
Gyeonggi-do,Anseong-si,35,51,3
Gyeonggi-do,Anyang-si,41,79,4
Gyeonggi-do,Yangju-si,33,48,1
Gyeonggi-do,Yangpyeong-gun,22,25,1
Gyeonggi-do,Yeoju-si,23,34,1
Gyeonggi-do,Yeoncheon-gun,13,13,0
Gyeonggi-do,Osan-si,23,50,2
Gyeonggi-do,Yongin-si,103,169,7
Gyeonggi-do,Uiwang-si,14,24,1
Gyeonggi-do,Uijeongbu-si,33,62,1
Gyeonggi-do,Icheon-si,31,51,2
Gyeonggi-do,Paju-si,57,98,1
Gyeonggi-do,Pyeongtaek-si,58,108,3
Gyeonggi-do,Pocheon-si,31,33,2
Gyeonggi-do,Hanam-si,20,34,0
Gyeonggi-do,Hwaseong-si,92,167,6
Gangwon-do,Gangwon-do,349,368,18
Gangwon-do,Gangneung-si,34,36,4
Gangwon-do,Goseong-gun,13,11,1
Gangwon-do,Donghae-si,14,17,0
Gangwon-do,Samcheok-si,19,17,0
Gangwon-do,Sokcho-si,12,11,0
Gangwon-do,Yanggu-gun,10,9,0
Gangwon-do,Yangyang-gun,13,15,0
Gangwon-do,Yeongwol-gun,13,15,1
Gangwon-do,Wonju-si,50,71,4
Gangwon-do,Inje-gun,13,15,0
Gangwon-do,Jeongseon-gun,16,15,0
Gangwon-do,Cheorwon-gun,16,12,0
Gangwon-do,Chuncheon-si,40,43,5
Gangwon-do,Taebaek-si,12,12,1
Gangwon-do,Pyeongchang-gun,19,16,0
Gangwon-do,Hongcheon-gun,26,26,0
Gangwon-do,Hwacheon-gun,13,14,0
Gangwon-do,Hoengseong-gun,16,13,2
Chungcheongbuk-do,Chungcheongbuk-do,259,328,17
Chungcheongbuk-do,Goesan-gun,14,15,1
Chungcheongbuk-do,Danyang-gun,11,11,0
Chungcheongbuk-do,Boeun-gun,15,16,0
Chungcheongbuk-do,Yeongdong-gun,14,14,1
Chungcheongbuk-do,Okcheon-gun,12,17,1
Chungcheongbuk-do,Eumseong-gun,21,24,2
Chungcheongbuk-do,Jecheon-si,24,35,2
Chungcheongbuk-do,Jeungpyeong-gun,4,5,0
Chungcheongbuk-do,Jincheon-gun,15,16,0
Chungcheongbuk-do,Cheongju-si,92,131,8
Chungcheongbuk-do,Chungju-si,37,44,2
Chungcheongnam-do,Chungcheongnam-do,409,499,21
